id_recette,titre,instructions,type_recette,score,note_base,image,difficulte
76,Ratatouille ,"1. Cuire oignon, poivron, courgette, aubergine. 2. Ajouter tomates. 3. Mijoter.",Plat,4.4,4,ratatouille.jpg,Moyen
77,Salade Niçoise ,"1. Base: laitue. 2. Ajouter: thon, œuf dur, tomate, haricots verts, olives.",Plat,4.3,4,nicoise.jpg,Facile
78,Crêpes Salées Jambon ,"1. Faire pâte (farine, œuf, lait). 2. Cuire crêpe. 3. Garnir jambon, gruyère.",Plat,4.1,3,crepe_salee.jpg,Facile
79,Pâtes Bolognaise ,"1. Cuire bœuf haché, oignon, carotte. 2. Ajouter tomate. 3. Mijoter. 4. Servir sur pâtes.",Plat,4.8,5,bolognaise.jpg,Moyen
80,Pilaf de Riz ,"1. Revenir oignon. 2. Ajouter riz, cuire jusqu'à translucide. 3. Ajouter bouillon. 4. Couvrir, cuire 15min.",Plat,4.0,3,pilaf.jpg,Facile
81,Pâtes Puttanesca ,"1. Cuire pâtes. 2. Revenir ail, anchois, câpres, olives. 3. Ajouter tomate. 4. Mélanger.",Plat,4.5,4,puttanesca.jpg,Facile
82,Soupe à l'oignon ,"1. Caraméliser oignons (longtemps). 2. Déglacer vin (opt). 3. Ajouter bouillon. 4. Gratiner (pain, gruyère).",Plat,4.6,4,soupe_oignon.jpg,Moyen
83,Poulet Tandoori ,1. Mariner poulet dans yaourt + épices tandoori (2h). 2. Cuire au four chaud.,Plat,4.4,4,tandoori.jpg,Moyen
84,Oyakodon ,"1. Cuire poulet, oignon, sauce (soja, sucre). 2. Verser œuf battu. 3. Servir sur riz.",Plat,4.5,4,oyakodon.jpg,Moyen
85,Tzatziki ,"1. Râper concombre, dégorger. 2. Mélanger yaourt, ail, citron, aneth.",Entrée,4.2,4,tzatziki.jpg,Facile
86,Gambas al Ajillo ,"1. Chauffer huile. 2. Cuire ail, piment. 3. Ajouter crevettes, cuire 2min.",Plat,4.6,5,gambas_ajillo.jpg,Facile
87,Cordon Bleu ,"1. Ouvrir filet poulet. 2. Farcir jambon+gruyère. 3. Paner (farine, œuf, chapelure). 4. Cuire.",Plat,4.5,4,cordon_bleu.jpg,Moyen
88,Rouleaux Printemps ,"1. Tremper galette riz. 2. Garnir (vermicelles, crevette, laitue, menthe). 3. Rouler.",Entrée,4.3,4,rouleau_printemps.jpg,Facile
89,Sloppy Joes ,"1. Cuire bœuf haché, oignon. 2. Ajouter ketchup, moutarde. 3. Servir pain burger.",Plat,4.1,3,sloppy_joe.jpg,Facile
90,Polenta crémeuse ,1. Cuire polenta (selon paquet) dans bouillon/lait. 2. Ajouter beurre et parmesan.,Accompagnement,4.0,4,polenta.jpg,Facile
91,Houmous ,"1. Mixer pois chiches, tahini, ail, citron. 2. Servir avec pain pita.",Plat,4.4,4,houmous.jpg,Facile
92,Tajine Kefta Oeufs ,"1. Faire sauce (oignon, tomate). 2. Ajouter boulettes (kefta). 3. Casser œufs. 4. Couvrir, cuire.",Plat,4.6,5,tajine_kefta.jpg,Moyen
93,Croque Madame ,"1. Faire croque (pain, jambon, gruyère). 2. Napper béchamel (opt). 3. Cuire. 4. Poser 1 œuf au plat dessus.",Plat,4.5,4,croque_madame.jpg,Facile
94,Soupe Tom Yum ,"1. Chauffer bouillon, pâte tom yum. 2. Ajouter crevettes, champignons. 3. Finir lait coco.",Plat,4.3,4,tom_yum.jpg,Facile
95,Bibimbap ,"1. Servir riz. 2. Poser bœuf haché cuit, carotte, épinards. 3. Ajouter 1 œuf plat. 4. Sauce gochujang.",Plat,4.6,5,bibimbap.jpg,Moyen
96,Pâtes Crevettes Ail ,"1. Cuire pâtes. 2. Revenir ail, piment. 3. Ajouter crevettes, puis tomates. 4. Mélanger.",Plat,4.5,4,pates_crevettes.jpg,Facile
97,Boulettes Viande ,"1. Mélanger bœuf, œuf, chapelure. 2. Former boules. 3. Cuire. 4. Sauce (crème, bouillon).",Plat,4.4,4,boulettes.jpg,Moyen
98,Salade Lyonnaise ,"1. Cuire œuf poché. 2. Dorer lardons. 3. Faire croûtons (pain, ail). 4. Assembler avec laitue.",Entrée,4.3,4,salade_lyonnaise.jpg,Moyen
99,Lomo Saltado,"1. Saisir bœuf, oignon, tomate. 2. Ajouter sauce soja. 3. Servir avec riz et frites (PDT).",Plat,4.6,4,lomo_saltado.jpg,Moyen
100,Currywurst,1. Cuire saucisses. 2. Couper. 3. Napper (ketchup + curry poudre). Servir frites (PDT).,Plat,4.0,3,currywurst.jpg,Facile
